hash	duration_s	start_utc	finish_utc	wall_s	wall_per_source_s	completion
154a3cd0	412.50	2026-08-29T21:50:08Z	2026-08-29T21:51:00Z	52	0.126	ground
6b096db7	210.65	2026-08-31T00:40:04Z	2026-08-31T00:40:49Z	45	0.214	ground
690e7f1f	256.53	2026-08-31T10:40:05Z	2026-08-31T10:41:24Z	79	0.308	ground
86b74a23	325.07	2026-09-02T20:40:04Z	2026-09-02T20:40:40Z	36	0.111	ground
fef3efb9	23.96	2026-09-03T06:30:06Z	2026-09-03T06:30:16Z	10	0.417	ground
3229c6bd	1290.21	2026-09-03T08:40:06Z	2026-09-03T08:45:18Z	312	0.242	ground
cc4b09be	348.75	2026-09-03T20:40:06Z	2026-09-03T20:40:50Z	44	0.126	ground
52dbd28d	173.88	2026-09-06T14:40:05Z	2026-09-06T14:40:58Z	53	0.305	ground
77f54c09	237.98	2026-09-06T18:30:07Z	2026-09-06T18:31:16Z	69	0.290	ground
1576149b	144.20	2026-09-06T22:30:09Z	2026-09-06T22:30:46Z	37	0.257	ground
1ac71c41	97.36	2026-09-07T16:30:11Z	2026-09-07T16:30:35Z	24	0.247	ground
d6668959	985.34	2026-09-07T20:50:08Z	2026-09-07T20:54:38Z	270	0.274	ground
8834a2c0	336.04	2026-09-07T21:30:09Z	2026-09-07T21:31:08Z	59	0.176	ground
1cad3a8d	219.90	2026-09-08T09:40:07Z	2026-09-08T09:41:20Z	73	0.332	ground
