stratum	repositories	repository_count	included_files	included_bytes	token_count	vocabulary_size	uncertainty
c	["lte-workstation"]	1	58	247140	32116	3024	na: only one repository snapshot per repository; pooled file bootstrap would not estimate between-repository variation
json	["lte-workstation","tiny-fleet"]	2	6	11982	940	445	na: only one repository snapshot per repository; pooled file bootstrap would not estimate between-repository variation
make	["lte-workstation"]	1	1	973	178	54	na: only one repository snapshot per repository; pooled file bootstrap would not estimate between-repository variation
markdown	["lte-workstation","tiny-fleet"]	2	491	4607032	665933	21225	na: only one repository snapshot per repository; pooled file bootstrap would not estimate between-repository variation
python	["lte-workstation","tiny-fleet"]	2	19	172158	18839	2806	na: only one repository snapshot per repository; pooled file bootstrap would not estimate between-repository variation
shell	["lte-workstation"]	1	21	213171	29793	3482	na: only one repository snapshot per repository; pooled file bootstrap would not estimate between-repository variation
swift	["lte-workstation"]	1	1	2498	299	131	na: only one repository snapshot per repository; pooled file bootstrap would not estimate between-repository variation
text	["lte-workstation","tiny-fleet"]	2	2	2383	339	176	na: only one repository snapshot per repository; pooled file bootstrap would not estimate between-repository variation
tsv	["lte-workstation"]	1	2	69670	9545	628	na: only one repository snapshot per repository; pooled file bootstrap would not estimate between-repository variation
typescript	["lte-workstation"]	1	4	8988	1154	356	na: only one repository snapshot per repository; pooled file bootstrap would not estimate between-repository variation
yaml	["lte-workstation"]	1	1	1036	129	80	na: only one repository snapshot per repository; pooled file bootstrap would not estimate between-repository variation
