repository	stratum	commit	path	status	reason	bytes	sha256	extension	language	line_count	token_count	identifier_count	vocabulary_size	comment_line_count	import_count	declaration_count	test_marker_line_count	error_handling_line_count	parse_status	parse_node_count	parse_error
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	.agents/skills/mishe-mishe-to-tauftauf/SKILL.md	included		1310	38eefd62184aad86991789fa90f6e55394babd6e5adb3b8f88b533fbe9839e37	.md	markdown	23	186	186	83	1	na	na	0	0	na	na	
lte-workstation	json	e8f47364e5a0f224c1bd03331df592272a187df5	.codex/hooks.json	included		244	eafd9bae2deb0676fcfc2df8a8846bb9ffc2f925519df0839047d850461fb818	.json	json	12	19	19	17	0	na	na	0	0	na	na	
lte-workstation	na	e8f47364e5a0f224c1bd03331df592272a187df5	.gitattributes	excluded	unsupported-extension	na	na	[none]	na	na	na	na	na	na	na	na	na	na	na	na	
lte-workstation	na	e8f47364e5a0f224c1bd03331df592272a187df5	.gitignore	excluded	unsupported-extension	na	na	[none]	na	na	na	na	na	na	na	na	na	na	na	na	
lte-workstation	na	e8f47364e5a0f224c1bd03331df592272a187df5	.mailmap	excluded	unsupported-extension	na	na	[none]	na	na	na	na	na	na	na	na	na	na	na	na	
lte-workstation	yaml	e8f47364e5a0f224c1bd03331df592272a187df5	.sops.yaml	included		1036	51acb3efd958a7d853d18c6631e7433cff3c0d210ce62d90348194dfdaff4af1	.yaml	yaml	25	129	129	80	12	na	na	0	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	AGENTS.md	included		4700	3c3b30f730779576c3182e0fd40ca1df3545b1af07bf2229a49f0da819b729a2	.md	markdown	81	727	727	334	6	na	na	9	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	CLAUDE.md	included		66126	194b66956a2b44a829ce5f5809a03e186b3d3cd04090b2ae23f3a5eb60ce06f4	.md	markdown	763	10406	10406	2247	56	na	na	156	5	na	na	
lte-workstation	na	e8f47364e5a0f224c1bd03331df592272a187df5	LICENSE	excluded	unsupported-extension	na	na	[none]	na	na	na	na	na	na	na	na	na	na	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	PROGRESS.md	included		5764	8b156b03511307064fa992c6b87a47a6692e4e2094a8559c3b76175523108e49	.md	markdown	133	638	638	50	27	na	na	0	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	README.md	included		14171	d5c86d45240302fc4e05d35902dfaa2fc51e62c5c535d80f7c2f149e031d1e13	.md	markdown	234	2253	2253	826	30	na	na	34	1	na	na	
lte-workstation	shell	e8f47364e5a0f224c1bd03331df592272a187df5	bootstrap.sh	included		8111	e84340ef49645589540248264ea524ff444375bb09261263c8af5c0593ba3296	.sh	shell	146	1135	1135	357	25	0	3	11	0	na	na	
lte-workstation	na	e8f47364e5a0f224c1bd03331df592272a187df5	caps.example/power	excluded	unsupported-extension	na	na	[none]	na	na	na	na	na	na	na	na	na	na	na	na	
lte-workstation	na	e8f47364e5a0f224c1bd03331df592272a187df5	caps.example/voice	excluded	unsupported-extension	na	na	[none]	na	na	na	na	na	na	na	na	na	na	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	charter/adint.md	included		1865	ce2a1e98b86d85775751662dc86a32b4c89a61b8640c0e59ec9666788aa5c75a	.md	markdown	28	304	304	167	4	na	na	5	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	charter/discover.md	included		2088	13933fa967893651174ba3986a55170d54d5073e4465b3807058c6c43ef2d6cf	.md	markdown	33	322	322	188	6	na	na	6	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	charter/genome.md	included		1693	4157aec5f8b4f0cd021770eb6bce6390bc4b2a62be762ce03c6fa0eb7d62200e	.md	markdown	23	258	258	143	3	na	na	4	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	charter/haunt.md	included		3519	8e9102bf4545611d56d61699163feb12bf1c7cc40eda670bcdfcdc32a0559c10	.md	markdown	60	508	508	275	7	na	na	8	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	charter/health.md	included		1118	3d2a85f207f202a30ec9e09235dcef4e689a97d14a36bf2604889356361aeafa	.md	markdown	18	152	152	106	3	na	na	3	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	charter/hire.md	included		1534	5e218b70bc4e557551c1e4d7625d309707b5a894820fdd92e0551fd1bd65c550	.md	markdown	26	240	240	138	5	na	na	2	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	charter/job.md	included		3444	624a9ab6dd2f87f31ac98deed43ec6840fdaf270216f350e733ac9b837dbb8b4	.md	markdown	49	555	555	277	7	na	na	5	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	charter/minds.md	included		1129	666d771388ab9585c8df7b6af4561faef6246d86f801889a60dfd2a6b1bd11e4	.md	markdown	18	155	155	94	2	na	na	1	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	charter/pub.md	included		2000	c0715e119a24573f1cc82f5e251e6fdd549771caf8657ed144a81d396e89f8b9	.md	markdown	29	324	324	174	4	na	na	3	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	charter/senses.md	included		2536	130436a4ee563c2237ca837ef983507dce42d44ef5ee4dc461fa58398f400f1b	.md	markdown	37	361	361	197	4	na	na	6	0	na	na	
